year,municipality,remu,serv,d_goods,total_expenses
2006,MUNICIPALIDAD DE ABANGARES,178729040.09000003,159813602.88,43884119.510000005,517159687.90000004
2006,MUNICIPALIDAD DE ACOSTA,89823670.9,20440385.69,20709928.95,753294328.57
2006,MUNICIPALIDAD DE ALAJUELA,1945523309.6599998,1382938660.5099998,492238592.43000007,7368471192.99
2006,MUNICIPALIDAD DE ALAJUELITA,295167660.52000004,100748535.87,5532405.35,7855137031.809999
2006,MUNICIPALIDAD DE ALVARADO DE PACAYAS,84876471.0,15790587.68,996770.0,8029177586.629999
2006,MUNICIPALIDAD DE ASERRI,328252267.8,130919982.89,16368233.78,8667781346.25
2006,MUNICIPALIDAD DE ATENAS,155958203.34999996,24357151.95,22826299.890000004,8978044762.53
2006,MUNICIPALIDAD DE BAGACES,146585407.99,63835461.18000001,123447445.0,9415289558.83
2006,MUNICIPALIDAD DE BARVA,207634977.73000005,272870187.55,10167520.299999999,10046313347.27
2006,MUNICIPALIDAD DE BELEN,719273814.3200003,583948941.21,235996991.32000002,12308078470.75
2006,MUNICIPALIDAD DE BUENOS AIRES,183326196.29999995,67212081.47999999,114390076.52,12773553152.18
2006,MUNICIPALIDAD DE CARRILLO GUANACASTE,286378097.1399999,157256670.93,355473203.2,13780614886.48
2006,MUNICIPALIDAD DE CARTAGO,2313350071.87,624028903.49,293598736.26,17968404738.76
2006,MUNICIPALIDAD DE CAÑAS,279388899.27999985,102410909.99,16239953.8,18580812444.339996
2006,MUNICIPALIDAD DE CORREDORES,264633274.46999997,56931299.37000001,195068084.8,19255012084.429996
2006,MUNICIPALIDAD DE COTO BRUS,121708974.48000003,47691388.290000014,155607598.0,19780817341.129997
2006,MUNICIPALIDAD DE CURRIDABAT,846082835.2299998,291900317.87,354316973.84,21757138892.079998
2006,MUNICIPALIDAD DE DESAMPARADOS,1246223704.0099995,453194882.63,219230267.30999997,24241009631.559998
2006,MUNICIPALIDAD DE DOTA,31144740.40999999,17885449.32,52656483.08,24359314258.809998
2006,MUNICIPALIDAD DE EL GUARCO,192824807.25,78629647.78,49599591.51,24793817774.629997
2006,MUNICIPALIDAD DE ESCAZU,1198039743.5500002,526441599.5299999,361926480.50999993,27587249352.92
2006,MUNICIPALIDAD DE ESPARZA,330288830.70999986,59175209.92000001,44902549.52,28170849912.16
2006,MUNICIPALIDAD DE FLORES,141597515.84000003,182480004.59,18231672.830000002,28601169835.43
2006,MUNICIPALIDAD DE GARABITO,283471471.0000003,40246359.419999994,276448283.97,29455751942.46
2006,MUNICIPALIDAD DE GOICOECHEA,1206257290.1899993,658332208.89,133203816.27,32037089966.8
2006,MUNICIPALIDAD DE GOLFITO,145935269.44999996,81895592.06,145515531.03,32535193907.51
2006,MUNICIPALIDAD DE GRECIA,570284678.7900002,384075556.64000005,37531463.8,33938704093.629997
2006,MUNICIPALIDAD DE GUACIMO,176956441.03999996,64577880.370000005,10102256.29,34374958480.77
2006,MUNICIPALIDAD DE GUATUSO,59773484.0,80174088.0,3103075.0,34730449744.1
2006,MUNICIPALIDAD DE HEREDIA,1280517672.7899997,563492521.76,164304621.37,37823903476.85
2006,MUNICIPALIDAD DE HOJANCHA,88187159.65,54789180.95,11607814.44,38055720720.549995
2006,MUNICIPALIDAD DE JIMENEZ,62260835.3,41154670.230000004,1330000.0,38208064006.52
2006,MUNICIPALIDAD DE LA CRUZ GUANACASTE,161428200.21000007,99015357.9,48353145.0,38653957965.21999
2006,MUNICIPALIDAD DE LA UNION,733166829.5400002,242417309.06999993,265908779.0299999,40410032012.38999
2006,MUNICIPALIDAD DE LEON CORTES,64417056.26999999,9801261.879999999,217475785.84,40728326997.72999
2006,MUNICIPALIDAD DE LIBERIA,636022023.0300002,170444045.21,154285352.82,42117202546.859985
2006,MUNICIPALIDAD DE LIMON,832767796.8600006,473786100.51,56347413.75,43872613303.889984
2006,MUNICIPALIDAD DE LOS CHILES,89802431.85999997,89642763.05,131841142.16,44302746996.02998
2006,MUNICIPALIDAD DE MATINA,229118290.7,223901666.09000003,253486861.09,45253018854.749985
2006,MUNICIPALIDAD DE MONTES DE OCA,1124180565.309999,230617042.76000002,130609663.29999998,47208064246.65998
2006,MUNICIPALIDAD DE MONTES DE ORO,125052590.46000005,58910912.68,8425018.65,47508202376.30998
2006,MUNICIPALIDAD DE MORA,139786061.79999998,114120956.71000001,48255417.309999995,47914733023.969986
2006,MUNICIPALIDAD DE MORAVIA,562344369.6599996,164902398.31000003,43093558.81,48978661790.33999
2006,MUNICIPALIDAD DE NANDAYURE,143170290.86,81706984.92999999,68627226.56,49443938361.18999
2006,MUNICIPALIDAD DE NARANJO,254350835.47000012,71165071.94,20049810.200000003,50039815872.68999
2006,MUNICIPALIDAD DE NICOYA,435273358.9900001,129190573.6,319737076.87,51122254349.999985
2006,MUNICIPALIDAD DE OREAMUNO,322909406.88,128670176.27000001,310895067.8,52014277826.08998
2006,MUNICIPALIDAD DE OROTINA,229637708.18000004,72440133.34,12551046.870000001,52402223569.889984
2006,MUNICIPALIDAD DE OSA,140898155.94,84015274.71000001,256699669.96,53074851038.209984
2006,MUNICIPALIDAD DE PALMARES,201154807.08000007,186923852.91000003,11927332.460000003,53596979926.50999
2006,MUNICIPALIDAD DE PARAISO,428697327.66,103221410.56,53952126.7,54411164421.959984
2006,MUNICIPALIDAD DE PARRITA,149052734.01000005,97244833.53000002,4173004.81,54777096031.86999
2006,MUNICIPALIDAD DE PEREZ ZELEDON,868917628.7100002,312366640.61,413146049.62,56908864027.09999
2006,MUNICIPALIDAD DE POAS,226460423.25,87607002.55999999,7531480.55,57376520547.49999
2006,MUNICIPALIDAD DE POCOCI,558173521.21,172316166.75000003,371675072.53000003,58857776572.38999
2006,MUNICIPALIDAD DE PUNTARENAS,1295220979.9199998,270294879.2,588893176.1999999,61852386663.34999
2006,MUNICIPALIDAD DE PURISCAL,187012603.09999982,46254356.86999999,50013365.4,62251927687.20999
2006,MUNICIPALIDAD DE QUEPOS,254243887.14,158857495.68,157224465.12,62981343006.90999
2006,MUNICIPALIDAD DE SAN CARLOS,869761001.0299997,376900641.62999994,339438882.66,65698757374.07999
2006,MUNICIPALIDAD DE SAN ISIDRO DE HEREDIA,221253439.95999998,64622201.75,31937185.0,66151004304.72999
2006,MUNICIPALIDAD DE SAN JOSE,11508530587.660002,2725995748.899999,716503747.9699999,86143254814.0
2006,MUNICIPALIDAD DE SAN MATEO,60483709.52000001,49534782.5,54894647.13,86387895509.97
2006,MUNICIPALIDAD DE SAN PABLO DE HEREDIA,266601651.6500001,316243628.16999996,14130274.249999998,87107720196.03
