year,municipality,remu,serv,d_goods,total_expenses
2006,MUNICIPALIDAD DE ABANGARES,178729040.09000003,159813602.88,43884119.510000005,517159687.90000004
2006,MUNICIPALIDAD DE ACOSTA,89823670.9,20440385.69,20709928.95,236134640.67
2006,MUNICIPALIDAD DE ALAJUELA,1945523309.6599998,1382938660.5099998,492238592.43000007,6615176864.42
2006,MUNICIPALIDAD DE ALAJUELITA,295167660.52000004,100748535.87,5532405.35,486665838.82000005
2006,MUNICIPALIDAD DE ALVARADO DE PACAYAS,84876471.0,15790587.68,996770.0,174040554.82000002
2006,MUNICIPALIDAD DE ASERRI,328252267.8,130919982.89,16368233.78,638603759.62
2006,MUNICIPALIDAD DE ATENAS,155958203.34999996,24357151.95,22826299.890000004,310263416.28
2006,MUNICIPALIDAD DE BAGACES,146585407.99,63835461.18000001,123447445.0,437244796.3
2006,MUNICIPALIDAD DE BARVA,207634977.73000005,272870187.55,10167520.299999999,631023788.4399999
2006,MUNICIPALIDAD DE BELEN,719273814.3200003,583948941.21,235996991.32000002,2261765123.48
2006,MUNICIPALIDAD DE BUENOS AIRES,183326196.29999995,67212081.47999999,114390076.52,465474681.42999995
2006,MUNICIPALIDAD DE CARRILLO GUANACASTE,286378097.1399999,157256670.93,355473203.2,1007061734.3000001
2006,MUNICIPALIDAD DE CARTAGO,2313350071.87,624028903.49,293598736.26,4187789852.28
2006,MUNICIPALIDAD DE CAÑAS,279388899.27999985,102410909.99,16239953.8,612407705.5799998
2006,MUNICIPALIDAD DE CORREDORES,264633274.46999997,56931299.37000001,195068084.8,674199640.09
2006,MUNICIPALIDAD DE COTO BRUS,121708974.48000003,47691388.290000014,155607598.0,525805256.70000005
2006,MUNICIPALIDAD DE CURRIDABAT,846082835.2299998,291900317.87,354316973.84,1976321550.9499998
2006,MUNICIPALIDAD DE DESAMPARADOS,1246223704.0099995,453194882.63,219230267.30999997,2483870739.4799995
2006,MUNICIPALIDAD DE DOTA,31144740.40999999,17885449.32,52656483.08,118304627.24999999
2006,MUNICIPALIDAD DE EL GUARCO,192824807.25,78629647.78,49599591.51,434503515.82
2006,MUNICIPALIDAD DE ESCAZU,1198039743.5500002,526441599.5299999,361926480.50999993,2793431578.2900004
