year,municipality,salaries,ext_time,sub_all,rent_bcl,rent_mef,publicity,activities,main_bcl,main_roads,main_other,cap_me,cap_trans,cap_build,cap_roads,cap_install,pe_land,pe_build
2006,MUNICIPALIDAD DE ABANGARES,103417103.55,550000.0,6330000.0,550000.0,106206856.65,291000.0,905765.0,1841520.0,0.0,,942582.08,0.0,9113814.19,14199650.0,4015000.0,0.0,
2006,MUNICIPALIDAD DE ACOSTA,47170819.25,7611902.33,3148000.0,,0.0,20160.0,450310.0,300000.0,0.0,,280678.95,2321500.0,975000.0,11442750.0,,5460000.0,
2006,MUNICIPALIDAD DE ALAJUELA,847274709.61,2532589.15,135884253.37,1227816.0,1477300.0,18724059.57,30271435.39,27154104.85,207000.0,300000.0,33371064.19,40821789.5,77825676.86,23712420.0,64875903.32,9085440.0,
2006,MUNICIPALIDAD DE ALAJUELITA,155879126.47,1220795.85,9572400.0,,1540000.0,828580.0,754690.0,0.0,11604837.88,514750.0,,,0.0,560000.0,,,
2006,MUNICIPALIDAD DE ALVARADO DE PACAYAS,45499582.45,244420.2,2424000.0,,7008000.0,28318.0,,,,,,,,,,,
2006,MUNICIPALIDAD DE ASERRI,158220001.23,4485999.24,10660900.0,,26988782.09,0.0,,4129484.23,30084045.96,0.0,,0.0,,,,0.0,
2006,MUNICIPALIDAD DE ATENAS,85829851.6,,6946308.0,,6251000.0,15000.0,1104822.88,354000.0,,0.0,,4350000.0,7299994.03,0.0,,0.0,
2006,MUNICIPALIDAD DE BAGACES,80169838.92,6270499.29,6599800.13,,15111638.0,90000.0,1951279.71,2301000.0,4359800.0,213000.0,119889000.0,,,,413000.0,,
2006,MUNICIPALIDAD DE BARVA,120125470.99,669404.68,10297457.49,,100000.0,,,0.0,138467.45,131200.0,,,,,0.0,0.0,
2006,MUNICIPALIDAD DE BELEN,323773343.73,14829599.89,14113269.9,7651939.98,5553277.42,1850865.0,10718933.0,3987042.78,9499991.35,1678000.0,8871428.84,,19582679.88,58696005.62,44222799.7,0.0,
2006,MUNICIPALIDAD DE BUENOS AIRES,72488823.79,0.0,13693567.33,,22937500.0,1411615.0,447714.02,7286293.81,,2072500.0,0.0,1498000.0,2200000.0,104501850.96,,,
2006,MUNICIPALIDAD DE CARRILLO GUANACASTE,146094787.43,1467160.69,13654725.0,,74112440.16,1960461.0,196000.0,896500.0,0.0,312000.0,104417031.5,32610730.0,41852634.95,41385714.0,50329000.0,0.0,
2006,MUNICIPALIDAD DE CARTAGO,635484063.15,62277387.24,60103030.3,165000.0,81874586.44,6061035.0,11939949.0,814544.69,0.0,6027200.0,47781784.0,0.0,7000000.0,187101971.72,9619436.51,0.0,
2006,MUNICIPALIDAD DE CAÑAS,145661643.16,15420283.05,8849998.0,,41220260.0,,1342609.9,3718681.0,4921600.0,707000.0,0.0,280126.0,0.0,10840947.6,,,
2006,MUNICIPALIDAD DE CORREDORES,121274690.91,6299860.97,8827500.0,,220500.0,2657675.75,30595.0,,,,61200.0,42460200.0,4343992.1,137252244.96,,,
2006,MUNICIPALIDAD DE COTO BRUS,61635686.09,291199.68,4315200.0,,390000.0,295560.0,,,,185240.75,96515400.0,0.0,,42948970.0,,0.0,
2006,MUNICIPALIDAD DE CURRIDABAT,419491703.5,4976060.72,21738456.0,0.0,1980600.0,239500.0,4142507.39,1731654.9,4199720.0,,26901579.29,1218888.0,38447400.63,212196563.12,,0.0,
2006,MUNICIPALIDAD DE DESAMPARADOS,627459385.11,35366265.07,58757335.0,,25504800.0,3062889.0,5136946.55,13329617.63,0.0,3280646.02,98466999.58,,52483927.91,36407659.63,,0.0,
2006,MUNICIPALIDAD DE DOTA,13541690.13,,2957722.41,,,,,497705.7,,0.0,,0.0,1997997.25,48701389.55,92824.0,,
2006,MUNICIPALIDAD DE EL GUARCO,97892158.5,2991405.45,8632800.0,,1450395.0,135770.0,260000.0,220000.0,,400000.0,18267235.0,1735826.6,11935726.26,8988470.0,4478250.0,0.0,
2006,MUNICIPALIDAD DE ESCAZU,466018503.25,18386915.32,35326827.0,39614521.4,81790100.08,4733616.57,1057368.4,6146740.0,,7089864.0,1640428.62,82070920.92,20704062.03,161915267.79,810000.0,0.0,
2006,MUNICIPALIDAD DE ESPARZA,148721850.24,5611695.59,14384559.04,,5163382.0,380384.5,1931524.91,481877.0,,,0.0,,322817.0,7477820.0,64500.0,0.0,
2006,MUNICIPALIDAD DE FLORES,79994453.2,1362194.71,6794423.52,,6149316.33,1901715.0,1972303.0,3011780.3,5341619.48,4956951.19,,0.0,4444362.58,4980543.54,2000000.0,,
2006,MUNICIPALIDAD DE GARABITO,155850739.63,3951955.58,8771100.0,,330000.0,859455.35,2185395.0,731700.0,0.0,0.0,78447693.0,53563496.34,1000000.0,120764288.0,0.0,0.0,
2006,MUNICIPALIDAD DE GOICOECHEA,630223555.69,11495713.92,35226750.74,,25628020.0,9046536.12,199999.99,42729770.16,43778637.0,46260172.6,5975264.0,408000.0,30140401.35,,54558002.28,,
2006,MUNICIPALIDAD DE GOLFITO,75263262.0,800679.9,4494000.0,,5000000.0,63000.0,,161000.0,,,81087624.0,10521869.38,821751.42,37836500.0,,,
2006,MUNICIPALIDAD DE GRECIA,257800916.39,5421952.76,26499985.92,,6549000.0,1654328.0,2287439.5,548000.0,,3209696.0,921124.65,15787267.9,0.0,,0.0,0.0,
2006,MUNICIPALIDAD DE GUACIMO,82655931.05,884525.6,6519600.0,2760000.0,2451500.0,845810.0,,1730690.0,240000.0,150000.0,1203320.0,0.0,,2240000.0,,,
2006,MUNICIPALIDAD DE GUATUSO,27503454.0,3116073.0,3804000.0,480000.0,63401922.0,714100.0,212000.0,,,550000.0,0.0,,0.0,350000.0,0.0,0.0,
2006,MUNICIPALIDAD DE HEREDIA,788057304.15,89148208.93,37491162.3,0.0,2175340.0,7652951.0,2654599.0,4063533.0,,0.0,815580.0,1417925.0,72307.7,88677356.77,1375000.0,0.0,
2006,MUNICIPALIDAD DE HOJANCHA,39724405.9,691139.0,5238938.0,,31219400.0,0.0,951840.0,1680000.0,,0.0,,,,,,0.0,
2006,MUNICIPALIDAD DE JIMENEZ,38645994.93,792630.26,2984000.0,,20596250.0,70884.25,,855000.0,6310000.0,849549.0,,,430000.0,900000.0,,0.0,
2006,MUNICIPALIDAD DE LA CRUZ GUANACASTE,84199745.73,878521.9,6750000.0,,27667500.0,193570.0,0.0,133700.0,26077000.0,0.0,0.0,14056090.0,570000.0,32012000.0,,,
2006,MUNICIPALIDAD DE LA UNION,322026262.71,15104205.0,37002506.0,,27791460.0,3956980.0,1793165.0,3849447.8,0.0,,55290726.6,8050000.0,9755630.73,148747162.3,0.0,,
2006,MUNICIPALIDAD DE LEON CORTES,30597317.12,,3380800.0,,4414500.0,,,,64800.0,,,,43642654.47,147800101.36,15569900.04,0.0,
2006,MUNICIPALIDAD DE LIBERIA,327081096.57,10900058.22,22574561.76,,11069500.05,4429720.0,1070772.1,3690381.72,0.0,700000.0,67507200.0,0.0,21285000.0,35202335.85,1271875.0,0.0,
2006,MUNICIPALIDAD DE LIMON,588522704.68,15274218.7,19000000.0,,14982329.0,13099071.75,9270292.65,3556550.27,146947986.25,,,,,,,,
2006,MUNICIPALIDAD DE LOS CHILES,33651247.09,1261232.37,6315332.39,,22788287.98,386340.0,97000.0,800052.2,,992080.0,33857010.0,,,90923404.17,,,
2006,MUNICIPALIDAD DE MATINA,98807686.98,2082743.55,11644560.9,1395200.0,10365400.0,379402.0,3890304.66,1363900.0,,0.0,,,62209000.0,167097226.09,0.0,0.0,
2006,MUNICIPALIDAD DE MONTES DE OCA,526634952.7,1831194.2,17281199.7,,33305423.5,1529520.75,964870.0,1492489.25,,170000.0,2148075.0,20848794.15,31363774.15,18097894.65,,,
2006,MUNICIPALIDAD DE MONTES DE ORO,63652059.72,2584023.91,6522000.0,,21890736.0,204220.0,1635358.66,2723500.0,5812240.0,1500000.0,,,,0.0,,0.0,
2006,MUNICIPALIDAD DE MORA,68014080.22,24292.79,6806400.0,4656666.66,1316666.66,431450.0,,146466.8,12131537.41,,31982787.0,0.0,2000000.0,0.0,,10000000.0,
2006,MUNICIPALIDAD DE MORAVIA,315520648.66,2338675.97,15942000.0,,3629000.0,522020.0,366845.0,36000.0,,,525327.0,183120.0,1000000.0,24433408.01,8479800.0,,
2006,MUNICIPALIDAD DE NANDAYURE,69987838.61,5077993.6,8280000.0,,32591000.0,258743.0,1094337.0,,,,37158310.7,,,22704825.0,,,
2006,MUNICIPALIDAD DE NARANJO,136869804.58,1743808.45,9084375.0,,24602872.0,269800.0,1659937.0,4799646.0,33000.0,1309360.0,570400.0,0.0,0.0,,0.0,9483560.5,
2006,MUNICIPALIDAD DE NICOYA,200017601.07,719199.55,23365346.0,,88483850.0,2048640.0,1195100.0,211091.0,0.0,,207085.0,154247.0,11141670.0,290820456.87,,0.0,
2006,MUNICIPALIDAD DE OREAMUNO,169068074.52,8292091.49,18959963.0,45000.0,71442890.0,867825.0,835892.3,961550.0,,,66988.16,0.0,,103738502.0,,139929113.0,
2006,MUNICIPALIDAD DE OROTINA,120932555.74,1439351.66,6495730.4,,1667000.0,554975.0,,750000.0,1139292.0,,,1700000.0,0.0,3295000.0,,,
2006,MUNICIPALIDAD DE OSA,81334740.29,2184274.41,4737080.0,,7197200.0,0.0,,,,,197251312.95,15199000.0,18306580.0,0.0,,,
2006,MUNICIPALIDAD DE PALMARES,99453693.88,1042304.67,9121320.0,,2353000.0,1044500.0,674900.0,1732500.0,12624217.8,343000.0,357000.0,0.0,65150.5,0.0,,0.0,
2006,MUNICIPALIDAD DE PARAISO,227249662.51,4025136.0,16734000.0,,5869620.0,0.0,4138345.42,2875800.0,,968850.0,990000.0,565195.7,2795000.0,15378100.0,,5000000.0,
2006,MUNICIPALIDAD DE PARRITA,83289985.43,4946236.99,5997000.0,,,1000000.0,1000000.0,9621459.1,44519880.77,3654211.0,0.0,0.0,,0.0,,,
2006,MUNICIPALIDAD DE PEREZ ZELEDON,393303727.06,25349791.2,15534136.45,3168000.0,123044304.92,5483492.0,28802337.57,4362379.27,,865000.0,285763608.5,12048121.0,3820000.0,19950000.0,,0.0,
2006,MUNICIPALIDAD DE POAS,98650490.93,1832820.0,10370700.0,,4081500.0,1749365.0,672817.0,,,,1707675.9,0.0,,,,478114.5,
2006,MUNICIPALIDAD DE POCOCI,257480283.81,19790852.09,25215861.7,4550000.0,24039931.0,2022019.31,579195.0,147048.0,,,368000.0,3304000.0,44108248.75,225809047.6,2975000.0,0.0,
2006,MUNICIPALIDAD DE PUNTARENAS,526396515.02,42590912.57,39698167.6,,47951448.0,1626530.0,576767.85,4153430.79,0.0,,113235095.0,46040980.0,4800000.0,360784174.4,,0.0,
2006,MUNICIPALIDAD DE PURISCAL,83363077.05,2175059.36,6586650.0,0.0,6537020.0,127500.0,0.0,21000.0,,,39450840.0,0.0,500000.0,8045000.0,,,
2006,MUNICIPALIDAD DE QUEPOS,141850667.78,2120397.45,13461291.4,,5675050.0,425861.0,250000.0,393100.0,6954440.51,6872690.31,,0.0,87121654.75,12726000.58,33307858.44,0.0,
2006,MUNICIPALIDAD DE SAN CARLOS,449222839.68,23545831.07,41323089.33,,137906763.93,10320644.73,9056100.51,5798379.8,28125788.5,195000.0,16173127.6,9831980.0,28699804.48,191351924.99,6637000.0,32199885.0,
2006,MUNICIPALIDAD DE SAN ISIDRO DE HEREDIA,100714310.96,5582869.0,14420962.0,,14163255.53,124070.0,550394.0,4000.0,680000.0,,45000.0,5731916.0,10706170.0,5100000.0,2000000.0,,
2006,MUNICIPALIDAD DE SAN JOSE,5565603780.79,272510662.5,92594665.02,156925533.69,63838415.55,32915766.87,178120169.3,44333124.79,9340121.38,50000.0,78057516.22,21103761.0,168327280.75,70945337.35,88435865.51,6588084.5,
2006,MUNICIPALIDAD DE SAN MATEO,34555469.14,232746.31,2325000.0,,25024181.43,,61500.0,,,0.0,32693850.0,0.0,2358850.0,7554603.0,,0.0,
2006,MUNICIPALIDAD DE SAN PABLO DE HEREDIA,151486023.43,9237266.57,8470800.16,,5500077.6,1899742.34,852966.0,2715398.77,0.0,11291586.09,,1914255.0,,,,,
2006,MUNICIPALIDAD DE SAN RAFAEL DE HEREDIA,134226997.07,5864946.92,11118504.71,250630.0,220000.0,899000.0,2863954.0,938725.0,272131.0,3668030.0,,30563777.0,2492811.0,29463424.05,,0.0,
2006,MUNICIPALIDAD DE SAN RAMON,267057796.02,869123.3,18893500.0,,75346100.0,2059020.0,2109214.15,522.05,0.0,0.0,1009999.0,15977570.0,0.0,8940200.0,,,
